01-30-2024 12:30:45 root:INFO:epoch:78, train_loss:1.2083583897037897e-05, test_loss:2.2688278477289714e-05
01-31-2024 12:31:10 root:INFO:epoch:79, train_loss:1.2072762729076203e-05, test_loss:2.0515946744126268e-05
01-31-2024 12:31:34 root:INFO:epoch:80, train_loss:1.1979916962445714e-05, test_loss:1.9793835235759616e-05
01-31-2024 12:31:58 root:INFO:epoch:81, train_loss:1.1971000276389532e-05, test_loss:2.023958404606674e-05
01-32-2024 12:32:22 root:INFO:epoch:82, train_loss:1.1902984624612145e-05, test_loss:1.9346127373864874e-05
01-32-2024 12:32:46 root:INFO:epoch:83, train_loss:1.1906708095921203e-05, test_loss:2.0537583623081446e-05
01-33-2024 12:33:11 root:INFO:epoch:84, train_loss:1.1871141396113671e-05, test_loss:2.2303971491055563e-05
01-33-2024 12:33:37 root:INFO:epoch:85, train_loss:1.1899368473677896e-05, test_loss:2.2233065465115942e-05
01-34-2024 12:34:02 root:INFO:epoch:86, train_loss:1.1793522389780264e-05, test_loss:1.9143604731652886e-05
01-34-2024 12:34:30 root:INFO:epoch:87, train_loss:1.1734430700016674e-05, test_loss:2.152500019292347e-05
01-34-2024 12:34:57 root:INFO:epoch:88, train_loss:1.1757177162508015e-05, test_loss:1.89237453014357e-05
01-35-2024 12:35:25 root:INFO:epoch:89, train_loss:1.1638010619208217e-05, test_loss:2.00683280127123e-05
01-35-2024 12:35:53 root:INFO:epoch:90, train_loss:1.1674828783725388e-05, test_loss:1.6981033695628867e-05
01-36-2024 12:36:22 root:INFO:epoch:91, train_loss:1.1584649655560497e-05, test_loss:2.2550868379767053e-05
01-36-2024 12:36:51 root:INFO:epoch:92, train_loss:1.1520223779371008e-05, test_loss:1.952130696736276e-05
01-37-2024 12:37:19 root:INFO:epoch:93, train_loss:1.1484856258903164e-05, test_loss:1.9963017621194012e-05
01-37-2024 12:37:46 root:INFO:epoch:94, train_loss:1.1493577403598465e-05, test_loss:1.865320882643573e-05
01-38-2024 12:38:12 root:INFO:epoch:95, train_loss:1.1457587788754608e-05, test_loss:1.859539406723343e-05
01-38-2024 12:38:37 root:INFO:epoch:96, train_loss:1.138269180955831e-05, test_loss:1.9416049326537177e-05
01-39-2024 12:39:01 root:INFO:epoch:97, train_loss:1.1413795618864242e-05, test_loss:2.0949040845152922e-05
01-39-2024 12:39:25 root:INFO:epoch:98, train_loss:1.1296989214315545e-05, test_loss:2.176942871301435e-05
01-39-2024 12:39:49 root:INFO:epoch:99, train_loss:1.128158146457281e-05, test_loss:2.1213993022684008e-05
